시설명,도로명주소,경도,위도
캠프모텔,서울 강동구 구천면로24길 25,127.12597819648742,37.5395650146849
H모텔,서울 강동구 천중로 90,127.131827631321,37.5444888965802
한강모텔,서울 강동구 구천면로 147,127.121499767736,37.5423664092934
오렌지모텔,서울 강동구 올림픽로 680,127.12491752516797,37.5420006416419
미래시현,서울 강동구 성내로 40,127.124582305799,37.5289058596037
올리하우스,서울 강동구 진황도로 178,127.142437463507,37.530348900274
하와이모텔,서울 강동구 천중로38길 71,127.13732074269383,37.53796661053202
에바파크,서울 강동구 올림픽로70길 44,127.126074800792,37.5391468478014
정다운인,서울 강동구 올림픽로70길 56-10,127.126629322019,37.5385326737469
카페72,서울 강북구 도봉로73길 39,127.0224996350772,37.633228813136256
갤러리모텔,서울 강북구 월계로7길 13,127.032618143533,37.6109720607633
K호텔,서울 강북구 월계로3길 35,127.031059871216,37.6113328768092
호텔클래시,서울 강북구 도봉로82길 13,127.02453972326116,37.635802522109074
호텔4월2일,서울 강북구 도봉로73길 25,127.022907335176,37.6327458063189
르씨엘모텔,서울 강북구 도봉로85길 7-5,127.024458713986,37.637520717697
세종썸모텔,서울 강북구 도봉로6길 36,127.03189708930591,37.61189847459136
샤인호텔,서울 강북구 솔매로 62-3,127.01910780024839,37.62478536687086
하이모텔 본점,서울 강북구 도봉로73길 7-3,127.02332057032105,37.63186546217785
수유역모텔,서울 강북구 도봉로89길 5-15,127.025478714673,37.638461130166
호텔포시즌,서울 강북구 오패산로77길 46,127.02452617848857,37.63595659341425
H호텔,서울 강북구 오패산로79길 8,127.025686820327,37.6374015266835
뉴캐슬모텔,서울 강북구 노해로8길 1,127.02316496673716,37.637884075774195
넘버25호텔 수유점,서울 강북구 도봉로78길 7,127.023981661241,37.6337799244523
쉴모텔,서울 강북구 삼양로 193,127.020312086037,37.6211235533297
로코모텔,서울 강북구 삼양로38가길 18,127.02122749552447,37.621703628178345
솔리드모텔,서울 강북구 한천로131길 24,127.02688701462746,37.638437392027924
카누모텔,서울 강북구 도봉로89길 5-4,127.025787059002,37.6389548028894
몽모텔,서울 강북구 도봉로 355-6,127.026603029005,37.6395456677495
온앤오프,서울 강북구 덕릉로24길 10,127.021928897333,37.6340794510541
모텔카누,서울 강북구 삼양로30길 12,127.02179303512,37.6188636118358
유주의집,서울 강북구 노해로17길 5,127.022144944596,37.6405638004506
수호텔,서울 강북구 덕릉로19길 4,127.020528778531,37.6347212046786
유리아호텔,서울 강북구 덕릉로26길 13,127.02263920274987,37.63395227793066
호텔러쉬,서울 강북구 오패산로79길 10,127.02564146911,37.6373078340994
봄스테이,서울 강북구 도봉로83길 11,127.02382647645,37.6374073229447
O2모텔,서울 강북구 4.19로 28,127.01113302124892,37.64770114729015
오투존모텔,서울 강북구 도봉로83길 15,127.02374720200335,37.637513655171034
문모텔,서울 강북구 삼양로 655,127.013151263889,37.661315685783
신세계모텔,서울 강북구 월계로3길 41,127.031032797124,37.6115923687751
모텔휴,서울 강북구 삼양로54길 17-3,127.019397704902,37.6244465484452
호텔피카소,서울 강북구 도봉로 355-8,127.026502168255,37.6394808195414
유진모텔,서울 강북구 도봉로6길 26,127.031440768488,37.6121652897766
