정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB123000611,잠실광역환승센터,37.51235,127.1006667,2025-10-31,24050,11,서울특별시,경기BIS
GGB123000613,위례중앙푸르지오.신안인스빌,37.4748833,127.1433,2025-10-31,24410,11,서울특별시,경기BIS
GGB123000614,송파와이즈더샵.위례센트로엘,37.4776333,127.1443833,2025-10-31,24413,11,서울특별시,경기BIS
GGB123000615,송파와이즈더샵.위례센트로엘,37.4771333,127.1440833,2025-10-31,24412,11,서울특별시,경기BIS
GGB123000616,위례별초등학교.위례스타힐스,37.4803333,127.14455,2025-10-31,24415,11,서울특별시,경기BIS
GGB123000617,위례별초등학교.위례2차아이파크,37.4795833,127.1442333,2025-10-31,24414,11,서울특별시,경기BIS
GGB123000618,위례동주민센터.위례스타힐스,37.4813167,127.1435667,2025-10-31,24416,11,서울특별시,경기BIS
GGB123000619,위례동주민센터.위례송파푸르지오,37.4815667,127.14285,2025-10-31,24417,11,서울특별시,경기BIS
GGB123000620,힐스테이트송파.송파더센트레,37.47945,127.1419167,2025-10-31,24418,11,서울특별시,경기BIS
GGB123000622,송파더센트레.힐스테이트송파,37.4794833,127.1416167,2025-10-31,24419,11,서울특별시,경기BIS
GGB123000624,위례신안인스빌.중앙푸르지오,37.4756833,127.14385,2025-10-31,24411,11,서울특별시,경기BIS
GGB123000627,송파레미니스아파트,37.5078833,127.1369,2025-10-31,24912,11,서울특별시,경기BIS
GGB123000629,송파레미니스아파트,37.5083167,127.1371833,2025-10-31,24913,11,서울특별시,경기BIS
GGB123000630,위례포레샤인.위례31단지후문,37.4748333,127.1339167,2025-10-31,24439,11,서울특별시,경기BIS
GGB123000631,위례31단지.위례포레샤인후문,37.4745833,127.13365,2025-10-31,24440,11,서울특별시,경기BIS
GGB123000632,송파나루역,37.5098833,127.1126833,2025-10-31,24199,11,서울특별시,경기BIS
GGB123000636,위례송파푸르지오.송파더센트레,37.48065,127.1389,2025-10-31,24443,11,서울특별시,경기BIS
GGB123000637,서울위례별초교,37.4783167,127.1438333,2025-10-31,24337,11,서울특별시,경기BIS
GGB123000638,위례송파더센트레.송파푸르지오,37.4794833,127.1384833,2025-10-31,24441,11,서울특별시,경기BIS
GGB123000639,장지역2번출구,37.4784667,127.1265667,2025-10-31,24442,11,서울특별시,경기BIS
GGB123000644,위례31단지정문,37.4735333,127.1326333,2025-10-31,24433,11,서울특별시,경기BIS
GGB123000645,위례31단지정문,37.47265,127.1323667,2025-10-31,24474,11,서울특별시,경기BIS
GGB123000650,세계로병원,37.48675,127.142,2025-10-31,24421,11,서울특별시,경기BIS
GGB123000651,세계로병원,37.48745,127.1418,2025-10-31,24422,11,서울특별시,경기BIS
GGB123000652,위례포레샤인18단지,37.48915,127.1524667,2025-10-31,24320,11,서울특별시,경기BIS
GGB123000653,위례포레샤인18단지,37.4891,127.152,2025-10-31,24321,11,서울특별시,경기BIS
GGB123000654,마천역.송파파크센트럴,37.4943,127.1512833,2025-10-31,24122,11,서울특별시,경기BIS
